year,state,county,total_pop,turnout_per,voter_turnout,rep_votes,rep_vote_per,dem_votes,dem_vote_per,oth_votes,oth_vote_per,,,,
2020,North Dakota,Adams,1920,,,,,,,,,,,,
2020,North Dakota,Barnes,8917,,,,,,,,,,,,
2020,North Dakota,Benson,4713,,,,,,,,,,,,
2020,North Dakota,Billings,811,,,,,,,,,,,,
2020,North Dakota,Bottineau,5412,,,,,,,,,,,,
2020,North Dakota,Bowman,2587,,,,,,,,,,,,
2020,North Dakota,Burke,1942,,,,,,,,,,,,
2020,North Dakota,Burleigh,76045,,,,,,,,,,,,
2020,North Dakota,Cass,143137,,,,,,,,,,,,
2020,North Dakota,Cavalier,3012,,,,,,,,,,,,
2020,North Dakota,Dickey,3923,,,,,,,,,,,,
2020,North Dakota,Divide,2180,,,,,,,,,,,,
2020,North Dakota,Dunn,4004,,,,,,,,,,,,
2020,North Dakota,Eddy,1854,,,,,,,,,,,,
2020,North Dakota,Emmons,2665,,,,,,,,,,,,
2020,North Dakota,Foster,2655,,,,,,,,,,,,
2020,North Dakota,Golden Valley,1504,,,,,,,,,,,,
2020,North Dakota,Grand Forks,60243,,,,,,,,,,,,
2020,North Dakota,Grant,1883,,,,,,,,,,,,
2020,North Dakota,Griggs,1808,,,,,,,,,,,,
2020,North Dakota,Hettinger,2184,,,,,,,,,,,,
2020,North Dakota,Kidder,1892,,,,,,,,,,,,
2020,North Dakota,LaMoure,3241,,,,,,,,,,,,
2020,North Dakota,Logan,1525,,,,,,,,,,,,
2020,North Dakota,McHenry,4996,,,,,,,,,,,,
2020,North Dakota,McIntosh,2245,,,,,,,,,,,,
2020,North Dakota,McKenzie,10554,,,,,,,,,,,,
2020,North Dakota,McLean,7929,,,,,,,,,,,,
2020,North Dakota,Mercer,6979,,,,,,,,,,,,
2020,North Dakota,Morton,24600,,,,,,,,,,,,
2020,North Dakota,Mountrail,8792,,,,,,,,,,,,
2020,North Dakota,Nelson,2410,,,,,,,,,,,,
2020,North Dakota,Oliver,1452,,,,,,,,,,,,
2020,North Dakota,Pembina,5417,,,,,,,,,,,,
2020,North Dakota,Pierce,3477,,,,,,,,,,,,
2020,North Dakota,Ramsey,9092,,,,,,,,,,,,
2020,North Dakota,Ransom,4172,,,,,,,,,,,,
2020,North Dakota,Renville,2086,,,,,,,,,,,,
2020,North Dakota,Richland,13103,,,,,,,,,,,,
2020,North Dakota,Rolette,10242,,,,,,,,,,,,
2020,North Dakota,Sargent,3199,,,,,,,,,,,,
2020,North Dakota,Sheridan,1104,,,,,,,,,,,,
2020,North Dakota,Sioux,2982,,,,,,,,,,,,
2020,North Dakota,Slope,619,,,,,,,,,,,,
2020,North Dakota,Stark,26998,,,,,,,,,,,,
2020,North Dakota,Steele,1534,,,,,,,,,,,,
2020,North Dakota,Stutsman,16877,,,,,,,,,,,,
2020,North Dakota,Towner,1867,,,,,,,,,,,,
2020,North Dakota,Traill,6255,,,,,,,,,,,,
2020,North Dakota,Walsh,8392,,,,,,,,,,,,
2020,North Dakota,Ward,59125,,,,,,,,,,,,
2020,North Dakota,Wells,3352,,,,,,,,,,,,
2020,North Dakota,Williams,30495,,,,,,,,,,,,
2016,North Dakota,Adams,1925,0.643116883,1238,904,0.730210016,216,0.17447496,118,0.095315024,,,,
2016,North Dakota,Barnes,8869,0.614612696,5451,3156,0.578976335,1597,0.292973766,698,0.128049899,,,,
2016,North Dakota,Benson,4499,0.459657702,2068,927,0.448259188,842,0.407156673,299,0.144584139,,,,
2016,North Dakota,Billings,730,0.835616438,610,492,0.806557377,58,0.095081967,60,0.098360656,,,,
2016,North Dakota,Bottineau,5251,0.676061703,3550,2482,0.69915493,734,0.206760563,334,0.094084507,,,,
2016,North Dakota,Bowman,2460,0.738211382,1816,1445,0.795704846,227,0.125,144,0.079295154,,,,
2016,North Dakota,Burke,1720,0.620930233,1068,879,0.823033708,118,0.110486891,71,0.066479401,,,,
2016,North Dakota,Burleigh,69958,0.696660854,48737,32499,0.666823974,10865,0.222931243,5373,0.110244783,,,,
2016,North Dakota,Cass,130081,0.628769767,81791,39738,0.485848076,31291,0.382572655,10762,0.131579269,,,,
2016,North Dakota,Cavalier,3095,0.677221325,2096,1356,0.646946565,476,0.227099237,264,0.125954198,,,,
2016,North Dakota,Dickey,3988,0.619107322,2469,1656,0.670716889,551,0.223167274,262,0.106115836,,,,
2016,North Dakota,Divide,1924,0.651767152,1254,860,0.685805423,243,0.193779904,151,0.120414673,,,,
2016,North Dakota,Dunn,3402,0.669312169,2277,1753,0.769872639,356,0.156346069,168,0.073781291,,,,
2016,North Dakota,Eddy,1850,0.682162162,1262,790,0.625990491,354,0.280507132,118,0.093502377,,,,
2016,North Dakota,Emmons,2739,0.735669953,2015,1672,0.829776675,215,0.106699752,128,0.063523573,,,,
2016,North Dakota,Foster,2644,0.670574887,1773,1237,0.697687535,346,0.195149464,190,0.107163001,,,,
2016,North Dakota,Golden Valley,1394,0.695839311,970,793,0.817525773,99,0.102061856,78,0.080412371,,,,
2016,North Dakota,Grand Forks,55838,0.549965973,30709,16325,0.531603113,10828,0.352600215,3556,0.115796672,,,,
2016,North Dakota,Grant,1924,0.736486486,1417,1098,0.7748765,187,0.131968948,132,0.093154552,,,,
2016,North Dakota,Griggs,1890,0.687301587,1299,847,0.652040031,298,0.229407236,154,0.118552733,,,,
2016,North Dakota,Hettinger,2057,0.645114244,1327,1032,0.777694047,168,0.126601356,127,0.095704597,,,,
2016,North Dakota,Kidder,1908,0.738993711,1410,1106,0.784397163,179,0.126950355,125,0.088652482,,,,
2016,North Dakota,LaMoure,3277,0.672566372,2204,1475,0.66923775,500,0.226860254,229,0.103901996,,,,
2016,North Dakota,Logan,1529,0.725964683,1110,867,0.781081081,112,0.100900901,131,0.118018018,,,,
2016,North Dakota,McHenry,4596,0.630765883,2899,1991,0.686788548,474,0.163504657,434,0.149706795,,,,
2016,North Dakota,McIntosh,2268,0.656084656,1488,1095,0.735887097,233,0.156586022,160,0.107526882,,,,
2016,North Dakota,McKenzie,7767,0.60821424,4724,3661,0.774978831,696,0.147332769,367,0.0776884,,,,
2016,North Dakota,McLean,7472,0.725910064,5424,3827,0.705567847,1070,0.197271386,527,0.097160767,,,,
2016,North Dakota,Mercer,6794,0.700029438,4756,3715,0.781118587,616,0.129520606,425,0.089360807,,,,
2016,North Dakota,Morton,22875,0.702644809,16073,11319,0.704224476,3077,0.191439059,1677,0.104336465,,,,
2016,North Dakota,Mountrail,7334,0.569130079,4174,2551,0.611164351,1211,0.290129372,412,0.098706277,,,,
2016,North Dakota,Nelson,2476,0.718497577,1779,1025,0.576166386,536,0.301292861,218,0.122540753,,,,
2016,North Dakota,Oliver,1433,0.720865318,1033,827,0.800580833,119,0.115198451,87,0.084220716,,,,
2016,North Dakota,Pembina,5653,0.571024235,3228,2204,0.682775713,681,0.210966543,343,0.106257745,,,,
2016,North Dakota,Pierce,3430,0.619533528,2125,1433,0.674352941,431,0.202823529,261,0.122823529,,,,
2016,North Dakota,Ramsey,8978,0.607930497,5458,3216,0.589226823,1505,0.27574203,737,0.135031147,,,,
2016,North Dakota,Ransom,4199,0.575613241,2417,1209,0.500206868,836,0.345883326,372,0.153909806,,,,
2016,North Dakota,Renville,2008,0.65438247,1314,978,0.744292237,200,0.152207002,136,0.103500761,,,,
2016,North Dakota,Richland,12911,0.596777941,7705,4759,0.617650876,2064,0.267878001,882,0.114471123,,,,
2016,North Dakota,Rolette,9676,0.398408433,3855,1210,0.31387808,2097,0.543968872,548,0.142153048,,,,
2016,North Dakota,Sargent,3103,0.665162746,2064,1088,0.527131783,693,0.335755814,283,0.137112403,,,,
2016,North Dakota,Sheridan,1099,0.737943585,811,644,0.794081381,94,0.115906289,73,0.09001233,,,,
2016,North Dakota,Sioux,2762,0.455104996,1257,256,0.203659507,758,0.603023071,243,0.193317422,,,,
2016,North Dakota,Slope,594,0.742424242,441,361,0.818594104,42,0.095238095,38,0.0861678,,,,
2016,North Dakota,Stark,23003,0.543407382,12500,9718,0.77744,1745,0.1396,1037,0.08296,,,,
2016,North Dakota,Steele,1553,0.670959433,1042,537,0.515355086,361,0.346449136,144,0.138195777,,,,
2016,North Dakota,Stutsman,16823,0.614931938,10345,6706,0.648235863,2484,0.240115998,1155,0.111648139,,,,
2016,North Dakota,Towner,1809,0.662797125,1199,733,0.611342786,305,0.254378649,161,0.134278565,,,,
2016,North Dakota,Traill,6281,0.640503105,4023,2263,0.562515536,1239,0.30797912,521,0.129505344,,,,
2016,North Dakota,Walsh,8487,0.562743019,4776,2991,0.626256281,1166,0.244137353,619,0.129606365,,,,
2016,North Dakota,Ward,53284,0.520006006,27708,18601,0.671322362,5792,0.209037101,3315,0.119640537,,,,
2016,North Dakota,Wells,3388,0.719303424,2437,1793,0.735740665,419,0.171932704,225,0.092326631,,,,
2016,North Dakota,Williams,23947,0.541570969,12969,10033,0.773614003,1722,0.132778163,1214,0.093607834,,,,
2012,North Dakota,Adams,1876,0.695095949,1304,918,0.70398773,328,0.251533742,58,0.044478528,,,,
2012,North Dakota,Barnes,8778,0.637275006,5594,2964,0.529853414,2394,0.427958527,236,0.042188059,,,,
2012,North Dakota,Benson,4476,0.489946381,2193,868,0.395804834,1235,0.563155495,90,0.041039672,,,,
2012,North Dakota,Billings,673,0.863298663,581,472,0.812392427,89,0.153184165,20,0.034423408,,,,
2012,North Dakota,Bottineau,5181,0.693495464,3593,2280,0.634567214,1183,0.329251322,130,0.036181464,,,,
2012,North Dakota,Bowman,2449,0.715802368,1753,1280,0.73017684,414,0.236166572,59,0.033656589,,,,
2012,North Dakota,Burke,1594,0.650564617,1037,769,0.741562199,230,0.221793635,38,0.036644166,,,,
2012,North Dakota,Burleigh,64505,0.67715681,43680,27951,0.639903846,14122,0.323305861,1607,0.036790293,,,,
2012,North Dakota,Cass,119641,0.620272315,74210,36855,0.496631182,34712,0.467753672,2643,0.035615146,,,,
2012,North Dakota,Cavalier,3172,0.666771753,2115,1195,0.56501182,818,0.386761229,102,0.04822695,,,,
2012,North Dakota,Dickey,4085,0.628641371,2568,1610,0.62694704,853,0.332165109,105,0.04088785,,,,
2012,North Dakota,Divide,1770,0.668926554,1184,733,0.619087838,385,0.325168919,66,0.055743243,,,,
2012,North Dakota,Dunn,2916,0.705761317,2058,1506,0.731778426,508,0.246841594,44,0.021379981,,,,
2012,North Dakota,Eddy,1897,0.619926199,1176,634,0.539115646,486,0.413265306,56,0.047619048,,,,
2012,North Dakota,Emmons,2805,0.68057041,1909,1435,0.751702462,383,0.200628601,91,0.047668937,,,,
2012,North Dakota,Foster,2640,0.646969697,1708,1030,0.603044496,607,0.355386417,71,0.041569087,,,,
2012,North Dakota,Golden Valley,1320,0.716666667,946,742,0.78435518,162,0.171247357,42,0.044397463,,,,
2012,North Dakota,Grand Forks,53584,0.563171842,30177,15060,0.499055572,14032,0.464989893,1085,0.035954535,,,,
2012,North Dakota,Grant,1914,0.754440961,1444,1025,0.709833795,334,0.231301939,85,0.058864266,,,,
2012,North Dakota,Griggs,1939,0.700361011,1358,771,0.567746686,536,0.394698085,51,0.037555228,,,,
2012,North Dakota,Hettinger,2029,0.681123706,1382,1000,0.723589001,313,0.226483357,69,0.049927641,,,,
2012,North Dakota,Kidder,1908,0.708071279,1351,870,0.643967432,393,0.290895633,88,0.065136936,,,,
2012,North Dakota,LaMoure,3238,0.689005559,2231,1377,0.617212013,740,0.331689825,114,0.051098162,,,,
2012,North Dakota,Logan,1567,0.70134014,1099,810,0.737033667,232,0.211101001,57,0.051865332,,,,
2012,North Dakota,McHenry,4326,0.640776699,2772,1678,0.605339105,943,0.34018759,151,0.054473304,,,,
2012,North Dakota,McIntosh,2256,0.691489362,1560,1035,0.663461538,459,0.294230769,66,0.042307692,,,,
2012,North Dakota,McKenzie,5140,0.673929961,3464,2458,0.709584296,927,0.2676097,79,0.022806005,,,,
2012,North Dakota,McLean,7329,0.682221313,5000,3141,0.6282,1670,0.334,189,0.0378,,,,
2012,North Dakota,Mercer,6638,0.679873456,4513,3152,0.698426767,1166,0.258364724,195,0.043208509,,,,
2012,North Dakota,Morton,21182,0.649702578,13762,8680,0.630722279,4469,0.324734777,613,0.044542944,,,,
2012,North Dakota,Mountrail,6189,0.562449507,3481,1962,0.56363114,1403,0.403045102,116,0.033323758,,,,
2012,North Dakota,Nelson,2521,0.672748909,1696,865,0.510023585,767,0.452240566,64,0.037735849,,,,
2012,North Dakota,Oliver,1431,0.714884696,1023,693,0.677419355,281,0.274682307,49,0.047898338,,,,
2012,North Dakota,Pembina,5777,0.574519647,3319,1899,0.572160289,1253,0.37752335,167,0.05031636,,,,
2012,North Dakota,Pierce,3455,0.641099855,2215,1465,0.661399549,660,0.297968397,90,0.040632054,,,,
2012,North Dakota,Ramsey,8978,0.565270662,5075,2665,0.525123153,2164,0.426403941,246,0.048472906,,,,
2012,North Dakota,Ransom,4151,0.591664659,2456,1009,0.410830619,1343,0.546824104,104,0.042345277,,,,
2012,North Dakota,Renville,1943,0.664436438,1291,851,0.659178931,398,0.308288149,42,0.03253292,,,,
2012,North Dakota,Richland,12721,0.604590834,7691,4229,0.549863477,3198,0.415810688,264,0.034325835,,,,
2012,North Dakota,Rolette,9522,0.486767486,4635,1092,0.235598706,3353,0.723408846,190,0.040992449,,,,
2012,North Dakota,Sargent,2966,0.686783547,2037,879,0.431516937,1075,0.527736868,83,0.040746195,,,,
2012,North Dakota,Sheridan,1103,0.759746147,838,642,0.766109785,163,0.19451074,33,0.039379475,,,,
2012,North Dakota,Sioux,2695,0.428942486,1156,225,0.194636678,900,0.778546713,31,0.026816609,,,,
2012,North Dakota,Slope,563,0.802841918,452,341,0.754424779,83,0.183628319,28,0.061946903,,,,
2012,North Dakota,Stark,19725,0.595082383,11738,8521,0.725932868,2812,0.23956381,405,0.034503323,,,,
2012,North Dakota,Steele,1543,0.680492547,1050,498,0.474285714,518,0.493333333,34,0.032380952,,,,
2012,North Dakota,Stutsman,16794,0.576396332,9680,5685,0.587293388,3585,0.37035124,410,0.042355372,,,,
2012,North Dakota,Towner,1811,0.662065157,1199,623,0.519599666,516,0.430358632,60,0.050041701,,,,
2012,North Dakota,Traill,6361,0.622229209,3958,1996,0.504295099,1811,0.45755432,151,0.038150581,,,,
2012,North Dakota,Walsh,8586,0.572210575,4913,2656,0.540606554,1985,0.404030124,272,0.055363322,,,,
2012,North Dakota,Ward,48939,0.524101432,25649,16230,0.632773208,8441,0.329096651,978,0.038130142,,,,
2012,North Dakota,Wells,3442,0.699012202,2406,1654,0.687448047,673,0.279717373,79,0.03283458,,,,
2012,North Dakota,Williams,18732,0.527653214,9884,7184,0.726831242,2322,0.234925132,378,0.038243626,,,,
2008,North Dakota,Adams,1869,0.697699304,1304,788,0.604294479,435,0.333588957,81,0.062116564,,,,
2008,North Dakota,Barnes,8594,0.673725855,5790,2826,0.488082902,2741,0.473402418,223,0.03851468,,,,
2008,North Dakota,Benson,4543,0.529605987,2406,773,0.321280133,1569,0.652119701,64,0.026600166,,,,
2008,North Dakota,Billings,643,0.800933126,515,375,0.72815534,114,0.221359223,26,0.050485437,,,,
2008,North Dakota,Bottineau,5114,0.70023465,3581,2059,0.574979056,1387,0.387321977,135,0.037698967,,,,
2008,North Dakota,Bowman,2313,0.71897968,1663,1107,0.665664462,478,0.287432351,78,0.046903187,,,,
